"Nome";"IP";"Grupo"
"MBR_HL2";"10.9.126.46";"Corporativa"
"MCH_HL1";"10.9.82.45";"Corporativa"
"MCH_HL2";"10.9.82.46";"Corporativa"
"MCL_HL1";"10.9.83.45";"Corporativa"
"MCL_HL2";"10.9.83.52";"Corporativa"
"MIM2_HL1";"10.9.129.45";"Corporativa"
"MIM2_HL2_RGR";"172.19.9.58";"Corporativa"
"MIM_HL1";"10.2.21.45";"Corporativa"
"MIM_HL_RGR";"172.20.143.250";"RGR"
"MIS_HL1";"10.9.75.45";"Corporativa"
"MIS_HL2";"10.9.75.46";"Corporativa"
"MRO2_HL1";"10.9.50.45";"Corporativa"
"NPE2_HL1";"10.2.81.45";"Corporativa"
"NPR2_HL1";"10.9.99.45";"Corporativa"
"NPR2_HL2";"10.9.99.46";"Corporativa"
"OSO2_HL1";"10.9.93.45";"Corporativa"
"OSO2_HL2";"10.9.93.46";"Corporativa"
"PAL_HL1";"10.9.43.45";"Corporativa"
"PAL_HL_RGR";"172.20.201.250";"Corporativa"
"PFU_HL1";"10.9.77.45";"Corporativa"
"PFU_HL2";"10.9.77.46";"Corporativa"
"PGR_HL1";"10.9.114.45";"Corporativa"
"PGR_HL2";"10.9.114.46";"Corporativa"
"PIN2_HL1";"10.9.105.45";"Corporativa"
"PME_HL1";"10.9.98.45";"Corporativa"
"CTA_HL1";"10.9.49.45";"Corporativa"
"PME_HL2";"10.9.98.46";"Corporativa"
"PNO_HL1";"10.9.53.45";"Corporativa"
"PNO_HL2";"10.9.53.46";"Corporativa"
"QUI_HL1";"10.9.51.45";"Corporativa"
"QUI_HL2";"10.9.51.46";"Corporativa"
"SCR1_HL1";"10.9.25.45";"Corporativa"
"SDI_HL1";"10.9.118.45";"Corporativa"
"SDI_HL2";"10.9.118.46";"Corporativa"
"SID_HL1";"172.19.9.18";"Corporativa"
"SID_HL2";"10.9.56.46";"Corporativa"
"SMA3_HL1";"10.9.95.45";"Corporativa"
"SMA3_HL2";"10.9.95.46";"Corporativa"
"SOS_HL1";"10.9.76.45";"Corporativa"
"SOS_HL2";"10.9.76.46";"Corporativa"
"SPA2_HL1";"10.9.46.45";"Corporativa"
"SPA2_HL2";"10.9.46.46";"Corporativa"
"SSA_HL1";"10.9.63.45";"Corporativa"
"SSA_HL2";"10.9.63.46";"Corporativa"
"STA_HL1";"10.9.66.45";"Corporativa"
"STA_HL2";"10.9.66.46";"Corporativa"
"TPR2_HL1";"10.9.74.45";"Corporativa"
"TPR2_HL2";"10.9.74.46";"Corporativa"
"UHBC_HL1";"10.9.26.45";"Corporativa"
"UHBC_HL_RGR";"172.20.0.250";"RGR"
"UHJB_HL1";"10.9.44.45";"Corporativa"
"UHJB_HL_RGR";"172.20.24.250";"RGR"
"UHPJ_HL1";"10.9.92.45";"Corporativa"
"UHPJ_HL_RGR";"172.20.6.250";"RGR"
"UHSD_HL1";"10.9.58.45";"Corporativa"
"VIN_HL1";"10.9.116.45";"Corporativa"
"VIN_HL2";"10.9.116.46";"Corporativa"
"VMT_HL1";"10.9.48.45";"Corporativa"
"VMT_HL2";"10.9.48.46";"Corporativa"
"XAN_HL1";"10.9.35.45";"Corporativa"
"XAN_HL2";"10.9.35.46";"Corporativa"
"YTA_HL1";"10.9.52.45";"Corporativa"
"ABTRDP_525_1";"172.20.166.100";"RDPs"
"ANARDP_230_1";"172.16.97.46";"RDPs"
"ANARDP_230_2";"172.16.97.110";"RDPs"
"ARERDP_230_1";"172.20.174.99";"RDPs"
"ARERDP_525_1";"172.20.174.100";"RDPs"
"ARERDP_525_2";"172.20.174.97";"RDPs"
"ASSRDP_230_1";"172.20.135.100";"RDPs"
"ATL2RDP_69_1";"172.16.87.98";"RDPs"
"ATL2RDP_230_1";"172.16.87.100";"RDPs"
"BIGRDP_138_1";"172.20.132.96";"RDPs"
"BIGRDP_138_2";"172.20.132.95";"RDPs"
"BIGRDP_230_1";"172.20.132.93";"RDPs"
"BIGRDP_230_2";"172.20.132.99";"RDPs"
"BIGRDP_525_1";"172.20.132.92";"RDPs"
"BLURDP_230_1";"172.20.149.98";"RDPs"
"BLURDP_230_2";"172.20.149.97";"RDPs"
"BLURDP_525_1";"172.20.149.100";"RDPs"
"BLURDP_525_2";"172.20.149.99";"RDPs"
"CAM3RDP_230";"172.20.154.100";"RDPs"
"CANRDP_230_1";"172.16.74.49";"RDPs"
"CANRDP_230_2";"172.16.74.48";"RDPs"
"CAX5RDP_230_1";"172.16.79.45";"RDPs"
"CAX5RDP_230_2";"172.16.79.109";"RDPs"
"CAX5RDP_230_3";"172.16.79.44";"RDPs"
"CAX5RDP_230_4";"172.16.79.108";"RDPs"
"CAX6RDP_230_1";"172.20.136.100";"RDPs"
"CAXRDP_230_1";"172.16.79.177";"RDPs"
"CAXRDP_525_1";"172.16.79.176";"RDPs"
"CAXRDP_525_2";"172.16.79.175";"RDPs"
"CBARDP_230_1";"172.16.74.178";"RDPs"
"CBARDP_525_1";"172.16.74.243";"RDPs"
"CCHRDP_230_1";"172.20.20.236";"RDPs"
"CCHRDP_230_2";"172.20.20.237";"RDPs"
"CCHRDP_230_3";"172.20.20.199";"RDPs"
"CGRRDP_138_1";"10.240.29.1";"RDPs"
"CGRRDP_138_2";"10.240.29.2";"RDPs"
"CGRRDP_138_3";"10.240.29.3";"RDPs"
"CHARDP_69_1";"10.240.30.2";"RDPs"
"CHARDP_230_1";"10.240.30.1";"RDPs"
"CHARDP_230_2";"10.240.30.3";"RDPs"
"CMORDP_230_1";"172.16.95.49";"RDPs"
"CNG2RP_230_1";"172.20.222.100";"RDPs"
"CNG2RP_230_2";"172.20.222.99";"RDPs"
"CNORDP_138_11";"172.20.206.220";"RDPs"
"CNORDP_230_1";"10.240.32.6";"RDPs"
"CNORDP_525_3";"10.240.32.4";"RDPs"
"CNORDP_525_21";"172.20.206.90";"RDPs"
"CNORDP_5OSC1A";"172.20.206.100";"RDPs"
"CNORDP_525_12";"172.20.206.91";"RDPs"
"CNORDP_525_13";"172.20.206.98";"RDPs"
"CNORDP_525_22";"172.20.206.96";"RDPs"
"CTARDP_230_1";"172.20.160.73";"RDPs"
"CTARDP_525_1";"172.20.160.52";"RDPs"
"CVORDP_525_2";"172.20.207.100";"RDPs"
"DOURDP_230_1";"172.20.176.100";"RDPs"
"DOURDP_230_4";"172.20.176.97";"RDPs"
"DRORDP_138_1";"172.16.99.176";"RDPs"
"DRORDP_230_1";"172.16.99.177";"RDPs"
"FARRDP_230_1";"172.20.229.100";"RDPs"
"FARRDP_230_2";"172.20.229.228";"RDPs"
"FCORDP_230_1";"172.20.141.24";"RDPs"
"FCORDP_230_2";"172.20.141.99";"RDPs"
"FCORDP_230_3";"172.20.141.100";"RDPs"
"FCORDP_230_4";"172.20.141.177";"RDPs"
"FHARDP_230_1";"172.20.131.60";"RDPs"
"GARRDP_230_1";"172.20.139.31";"RDPs"
"GAS2RDP_230";"172.20.167.100";"RDPs"
"GR2RDP_230_1";"172.20.238.100";"RDPs"
"GRA3RDP_69_1";"172.16.88.99";"RDPs"
"GRA3RDP_230_1";"172.16.88.100";"RDPs"
"GRARDP_525_1";"172.16.75.177";"RDPs"
"GRARDP_525_2";"172.16.75.176";"RDPs"
"GRTRDP_230_1";"172.20.142.228";"RDPs"
"GUA3RP_525_1";"172.20.191.100";"RDPs"
"GUARDP_525_1";"172.20.208.100";"RDPs"
"GUORDP_230_1";"172.20.197.100";"RDPs"
"IJ2RDP_230_1";"172.20.137.100";"RDPs"
"IRNRDP_230_1";"172.20.198.100";"RDPs"
"ITJRDP_138_1";"172.16.82.237";"RDPs"
"ITRRDP_138_1";"172.20.26.236";"RDPs"
"IV2RDP_138_1";"172.20.168.100";"RDPs"
"IVPRDP_525_1";"172.20.217.98";"RDPs"
"IVPRDP_525_2";"10.240.41.2";"RDPs"
"IVPRDP_525_3";"10.240.41.3";"RDPs"
"IVPRDP_525_4";"172.20.217.99";"RDPs"
"IVPRDP_525_5";"172.20.217.100";"RDPs"
"JLARDP_138_1";"172.16.85.178";"RDPs"
"JLARDP_138_2";"172.16.85.179";"RDPs"
"JLARDP_230_1";"172.16.85.180";"RDPs"
"JLARDP_230_3";"172.16.85.182";"RDPs"
"JLARDP_230_11";"172.20.216.100";"RDPs"
"JLBRDP_230_1";"172.16.85.50";"RDPs"
"JLBRDP_230_2";"172.16.85.51";"RDPs"
"JLBRDP_230_4";"172.16.85.114";"RDPs"
"JLBRDP_230_22";"172.20.212.99";"RDPs"
"JLBRDP_230_33";"172.20.212.98";"RDPs"
"JLBRDP_230_44";"172.20.212.97";"RDPs"
"JNORDP_138_1";"172.20.146.55";"RDPs"
"JNORDP_230_1";"172.20.146.54";"RDPs"
"JNORDP_230_2";"172.20.146.99";"RDPs"
"JOIRDP_138_1";"10.240.44.3";"RDPs"
"JOIRDP_230_11";"10.240.44.1";"RDPs"
"JOIRDP_230_22";"10.240.44.2";"RDPs"
"JOIRDP_230_33";"10.240.44.4";"RDPs"
"LGRRDP_230_1";"172.20.211.48";"RDPs"
"LGRRDP_230_2";"172.20.211.49";"RDPs"
"LIV2RDP_230_1";"10.240.78.1";"RDPs"
"LIV3RP_230_1";"172.20.224.100";"RDPs"
"LNARDP_230_1";"172.20.157.100";"RDPs"
"LNSRDP_230_1";"172.20.200.100";"RDPs"
"LONRDP_230_1";"172.20.177.98";"RDPs"
"LONRDP_230_2";"172.20.177.97";"RDPs"
"LONRDP_525_1";"172.20.177.100";"RDPs"
"LONRDP_525_2";"172.20.177.99";"RDPs"
"LONRDP_525_3";"172.20.177.96";"RDPs"
"MBR3RP_230_1";"172.20.219.100";"RDPs"
"MBRRDP_230_1";"172.20.187.100";"RDPs"
"MCHRDP_525_1";"172.16.73.113";"RDPs"
"MCLRDP_230_1";"172.16.98.24";"RDPs"
"MIM2RDP_138_1";"172.20.218.100";"RDPs"
"MIMRDP_138_1";"172.20.143.171";"RDPs"
"MIMRDP_138_2";"172.20.143.170";"RDPs"
"MISRDP_69_1";"172.20.209.100";"RDPs"
"MISRDP_230_1";"172.20.209.99";"RDPs"
"MR2RDP_525_1";"172.20.155.97";"RDPs"
"MR2RDP_525_2";"172.20.155.96";"RDPs"
"NPE2RDP_230_1";"172.20.138.100";"RDPs"
"NPR2RDP_230";"172.20.171.100";"RDPs"
"NSRRDP_230_1";"172.20.150.97";"RDPs"
"NSRRDP_525_1";"172.20.150.100";"RDPs"
"NSRRDP_525_2";"172.20.150.99";"RDPs"
"NSRRDP_525_3";"172.20.150.98";"RDPs"
"OSO2RDP_230_1";"172.16.87.130";"RDPs"
"PALRDP_138_1";"172.20.201.98";"RDPs"
"PALRDP_230_1";"172.20.201.100";"RDPs"
"PALRDP_230_2";"172.20.201.99";"RDPs"
"PFURDP_230_1";"172.16.71.90";"RDPs"
"PFURDP_230_2";"172.16.71.91";"RDPs"
"PFURDP_230_3";"172.16.71.92";"RDPs"
"PGRRDP_230_1";"172.20.199.100";"RDPs"
"PINRDP_138_1";"172.20.169.99";"RDPs"
"PINRDP_230_1";"172.20.169.100";"RDPs"
"PINRDP_230_2";"172.20.169.98";"RDPs"
"PMERDP_230_1";"172.16.92.33";"RDPs"
"PMERDP_230_2";"172.20.161.25";"RDPs"
"PNORDP_525_1";"172.20.153.39";"RDPs"
"PNORDP_525_2";"172.20.153.44";"RDPs"
"QUIRDP_230_1";"172.20.156.100";"RDPs"
"SCRRDP_230_1";"10.240.66.1";"RDPs"
"SDIRDP_230_1";"172.20.210.100";"RDPs"
"SIDRDP230_11";"172.20.151.99";"RDPs"
"SIDRDP_230_2";"172.20.151.100";"RDPs"
"SIDRDP_230_3";"172.20.151.98";"RDPs"
"SMA3RP_230_1";"172.20.190.100";"RDPs"
"SOSRDP_230_1";"172.16.76.90";"RDPs"
"SOSRDP_230_2";"172.16.76.91";"RDPs"
"SOSRDP_230_3";"172.16.76.113";"RDPs"
"SPA2RDP525_1";"172.20.152.34";"RDPs"
"SSARDP_525_1";"10.240.54.1";"RDPs"
"SSARDP_525_2";"10.240.54.2";"RDPs"
"SSARDP_525_3";"10.240.54.3";"RDPs"
"SSARDP_525_4";"172.20.215.55";"RDPs"
"STARDP_230_1";"172.16.91.99";"RDPs"
"STARDP_230_2";"172.16.91.97";"RDPs"
"STARDP_525_1";"172.16.91.100";"RDPs"
"STARDP_525_2";"172.16.91.98";"RDPs"
"TR2RDP_69_1";"172.16.97.152";"RDPs"
"TR2RDP_230_3";"172.16.97.157";"RDPs"
"UHPJRDP_UG_1";"10.240.72.1";"RDPs"
"UHPJRDP_UG_2";"10.240.72.2";"RDPs"
"UHSDRDP_1";"172.20.13.237";"RDPs"
"VINRDP_230_1";"172.20.178.100";"RDPs"
"VMTRDP_230_1";"172.20.182.100";"RDPs"
"XANRDP_230_1";"172.20.232.100";"RDPs"
"XANRDP_230_2";"172.20.232.99";"RDPs"
"XANRDP_230_4";"172.16.78.33";"RDPs"
"YTARDP_525_1";"172.16.78.168";"RDPs"
"YTARDP_525_2";"172.16.78.232";"RDPs"
"YTARDP_525_4";"172.16.78.154";"RDPs"
"YTARDP_525_5";"172.16.78.160";"RDPs"
"CEF-GUO-005";"10.2.112.48";"Corporativa"
"CEF-CAM3-010";"10.2.47.48";"Corporativa"
"CEF-PNO-069";"10.2.53.48";"Corporativa"
"CEF-MRO2-073";"10.2.50.48";"Corporativa"
"CEF-SPA2-074";"10.2.46.48";"Corporativa"
"CEF-PGR-007";"10.2.114.48";"Corporativa"
"CEF-GRT-009";"10.2.45.48";"Corporativa"
"CEF-MIM2-810";"10.2.129.48";"Corporativa"
"CEF-IRN-057";"10.2.113.48";"Corporativa"
"CEF-SMA3-019";"10.2.95.48";"Corporativa"
"CEF-CVO-0400";"10.2.121.48";"Corporativa"
"CEF-LON-008";"10.2.115.48";"Corporativa"
"CEF-MAUAPR-056";"192.168.2.15";"Corporativa"
"ControlONE BIG";"10.9.29.150";"Corporativa"
"TEL-CONSOLE-CCT-01";"10.8.103.32";"Consoles_Telefonia"
"TEL-CONSOLE-CCT-02";"10.8.103.34";"Consoles_Telefonia"
"TEL-CONSOLE-COC-01";"10.9.29.30";"Consoles_Telefonia"
"TEL-CONSOLE-COC-02";"10.9.29.31";"Consoles_Telefonia"
"TEL-CONSOLE-COC-03";"10.9.29.32";"Consoles_Telefonia"
"TEL-CONSOLE-COC-04";"10.9.29.33";"Consoles_Telefonia"
"TEL-CONSOLE-COC-05";"10.9.29.34";"Consoles_Telefonia"
"TEL-CONSOLE-COC-06";"10.9.29.35";"Consoles_Telefonia"
"TEL-CONSOLE-COC-07";"10.9.29.36";"Consoles_Telefonia"
"TEL-CONSOLE-COC-08";"10.9.29.37";"Consoles_Telefonia"
"TEL-CONSOLE-COC-09";"10.9.29.38";"Consoles_Telefonia"
"TEL-CONSOLE-COG-01";"10.8.103.33";"Consoles_Telefonia"
"TEL-CONSOLE-COSE-01";"10.8.103.30";"Consoles_Telefonia"
"TEL-CONSOLE-COSE-02";"10.8.31.50";"Consoles_Telefonia"
"TEL-CONSOLE-COSE-03";"10.8.103.31";"Consoles_Telefonia"
"TEL-CONSOLE-COSE-04";"10.8.10.31";"Consoles_Telefonia"
"TEL-CONSOLE-COSE-05";"10.8.31.35";"Consoles_Telefonia"
"TEL-CONSOLE-COSE-06";"10.8.10.33";"Consoles_Telefonia"
"TEL-CONSOLE-COSE-07";"10.8.10.34";"Consoles_Telefonia"
"TEL-CONSOLE-COSE-08";"10.8.10.35";"Consoles_Telefonia"
"TEL-CONSOLE-COSE-09";"10.8.10.36";"Consoles_Telefonia"
"TEL-CONSOLE-COSE-10";"10.8.10.37";"Consoles_Telefonia"
"TEL-CONSOLE-CCT-03";"10.8.103.35";"Consoles_Telefonia"
"TEL-GATEWAY-BIG-01";"10.9.29.10";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-BIG-02";"10.9.29.11";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-BIG-03";"10.9.29.12";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-CRCAP-04";"10.9.41.13";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-CRCAP-05";"10.9.41.14";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-CRLAR-1";"10.9.40.10";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-CRLAR-2";"10.9.40.12";"GATEWAY-TELEFONIA"
"TEL-GTW-PAL-CEL-ControlOne";"10.9.43.15";"Corporativa"
"TEL-GATEWAY-SOS-01";"10.9.76.10";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-SOS-02";"10.9.76.11";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-SSA-01";"10.9.63.10";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-SSA-02";"10.9.63.11";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-STA";"10.9.66.10";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-UHJB-01";"10.9.44.10";"GATEWAY-TELEFONIA"
"TEL-GATEWAY-UHSD";"10.9.58.10";"GATEWAY-TELEFONIA"
"RTD-ServerU1";"10.1.0.71";"Corporativa"
"RTD-ServerU2";"10.1.0.72";"Corporativa"
"SVRSEDESMT-P01-MGMT-CFTV";"10.6.1.15";"CFTV"
"SVRBLUSMT-P01-MGMT-CFTV";"10.6.65.100";"CFTV"
"SVRCNOSMT-P01-MGMT-CFTV";"10.6.64.102";"CFTV"
"SVRLONSMT-P01-MGMT-CFTV";"10.6.32.101";"CFTV"
"SVRNSRSMT-P01-MGMT-CFTV";"10.6.89.101";"CFTV"
"SVRSED-TELECOM-MGMT";"10.6.1.254";"CFTV"
"RET-PAL-RNP-1";"10.6.43.40";"Corporativa"
"RET-PAL-RNP-2";"10.6.43.41";"Corporativa"
"RET-SED-RNP-2";"10.6.1.41";"Corporativa"
"RET-SED-RNP-1";"10.6.1.40";"Corporativa"
"RET-RRR";"10.6.16.49";"Corporativa"
"RET-PMEELB48V-1";"10.6.98.52";"Corporativa"
"RET-PMEELB48V2";"10.6.98.53";"Corporativa"
"RET-QUI-48V-1";"10.6.51.42";"Corporativa"
"RET-QUI-48V-2";"10.6.51.43";"Corporativa"
"SED-RGR-PA-19.255.9";"172.19.255.9";"Industrial"
"TEL_BIG_SAT_1";"10.9.29.41";"Corporativa"
"TEL_BIG_SAT_2";"10.9.29.42";"Corporativa"
"TEL_BIG_SAT_3";"10.9.29.43";"Corporativa"
"TEL_SEDE_SAT_1";"10.8.103.40";"Corporativa"
"TEL_SEDE_SAT_2";"10.8.103.41";"Corporativa"
"TEL_SEDE_SAT_3";"10.8.103.42";"Corporativa"
"TEL_COSE_SAT_NORTE";"10.8.103.40";"Corporativa"
"TEL_COSE_SAT_SUL";"10.8.103.41";"Corporativa"
"TEL_COSE_SAT_RESERVA";"10.8.103.42";"Corporativa"
"TEL_COC_SAT_SUL";"10.9.29.41";"Corporativa"
"TEL_COC_SAT_NORTE";"10.9.29.42";"Corporativa"
"TEL_COC_SAT_RESERVA";"10.9.29.43";"Corporativa"
"SVRBIGTELMGMT-Controlone";"10.6.29.35";"Corporativa"
"SVRSEDETELMGMT-Controlone";"10.6.1.35";"Corporativa"
"TEL-CONSOLE-COC-10-PA";"10.9.29.39";"Consoles_Telefonia"
"TEL-CONSOLE-COC-11-PA";"10.9.29.29";"Consoles_Telefonia"
"PNO_PRI";"172.30.53.1";"Discovered hosts"
"FW-PNO-PRI";"172.30.53.21";"Industrial"
"FW-PNO-SEC";"172.31.53.21";"Industrial"
"PNO_SEC";"172.31.53.1";"Discovered hosts"
"Sincronizador - OSA 5422 - SE GRA";"192.168.193.52";"Corporativa"
"CAM-IVP-06";"10.3.37.205";"CFTV"
"CAM-IVP-07";"10.3.37.206";"CFTV"
"Sincronizador - OSA 5422 - SE PAL";"192.168.241.52";"Corporativa"
"Sincronizador - OSA 5422 - SE XAN";"192.168.241.184";"Corporativa"
"SVRGERPADTEC2 DRO";"10.255.5.222";"Corporativa"
"SVRGERPADTEC1 SEDE";"10.255.5.221";"Corporativa"
"SVRSEDESMT-P10";"10.0.40.122";"Corporativa"
"SVRDROSMT-P10";"10.0.40.123";"Corporativa"
"zfe";"10.0.41.36";"Zabbix servers"
"SVRdro_SNMP";"10.255.5.222";"Corporativa"
"TELECONTROLE_ABT_redeB";"172.20.166.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_ABT_redeA";"172.20.166.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_ANA_redeB";"172.16.97.62";"Disponibilidade_Telecontrole"
"TELECONTROLE_ANA_redeA";"172.16.97.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_ARE_FW_redeB";"172.30.33.21";"Disponibilidade_Telecontrole"
"TELECONTROLE_ARE_FW_redeA";"172.31.33.21";"Disponibilidade_Telecontrole"
"TELECONTROLE_ASS_redeB";"172.20.135.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_ASS_redeA";"172.20.135.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_ATL2_redeB";"172.16.87.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_ATL2_redeA";"172.20.130.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_BIG_FW_redeB";"172.30.29.21";"Disponibilidade_Telecontrole"
"TELECONTROLE_BIG_FW_redeA";"172.31.29.21";"Disponibilidade_Telecontrole"
"TELECONTROLE_BLU_FW_redeB";"172.30.65.21";"Disponibilidade_Telecontrole"
"TELECONTROLE_BLU_FW_redeA";"172.31.65.21";"Disponibilidade_Telecontrole"
"TELECONTROLE_CAM3_redeB";"172.20.154.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_CAM3_redeA";"172.20.154.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_CAN_redeB";"172.16.74.62";"Disponibilidade_Telecontrole"
"TELECONTROLE_CAN_redeA";"172.16.74.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_CAX_redeB";"172.16.79.190";"Disponibilidade_Telecontrole"
"TELECONTROLE_CAX_redeA";"172.16.79.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_CAX5_redeB";"172.16.79.62";"Disponibilidade_Telecontrole"
"TELECONTROLE_CAX5_redeA";"172.16.79.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_CAX6_redeB";"172.20.136.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_CAX6_redeA";"172.20.136.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_CBA_redeB";"172.16.74.190";"Disponibilidade_Telecontrole"
"TELECONTROLE_CBA_redeA";"172.16.74.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_CGR_redeB";"172.20.221.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_CGR_redeA";"172.20.221.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_CHA_redeB";"172.16.86.62";"Disponibilidade_Telecontrole"
"TELECONTROLE_CHA_redeA";"172.16.86.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_CMO_redeB";"172.16.95.62";"Disponibilidade_Telecontrole"
"TELECONTROLE_CMO_redeA";"172.16.95.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_CNG2_redeB";"172.20.222.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_CNG2_redeA";"172.20.222.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_CNO_FW_redeB";"172.30.64.21";"Disponibilidade_Telecontrole"
"TELECONTROLE_CNO_FW_redeA";"172.31.64.21";"Disponibilidade_Telecontrole"
"TELECONTROLE_CTA_redeB";"172.20.160.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_CTA_redeA";"172.20.160.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_CVO_redeB";"172.20.207.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_CVO_redeA";"172.20.207.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_DOU_redeB";"172.20.176.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_DOU_redeA";"172.20.176.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_DRO_realB";"172.16.99.190";"Disponibilidade_Telecontrole"
"TELECONTROLE_DRO_redeA";"172.16.99.252";"Disponibilidade_Telecontrole"
"TELECONTROLE_FAR_redeB";"172.16.83.62";"Disponibilidade_Telecontrole"
"TELECONTROLE_FAR_redeA";"172.16.83.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_FCO_redeB";"172.20.141.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_FCO_redeA";"172.20.141.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_FHA_redeB";"172.20.131.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_FHA_redeA";"172.20.131.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_GAR1_redeB";"172.20.139.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_GAR1_redeA";"172.20.139.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_GAS2_redeB";"172.20.167.124";"Disponibilidade_Telecontrole"
"TELECONTROLE_GAS2_realA";"172.20.167.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_GRA_redeB";"172.16.75.190";"Disponibilidade_Telecontrole"
"TELECONTROLE_GRA_redeA";"172.16.75.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_GRA3_redeB";"172.16.88.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_GRA3_redeA";"172.16.88.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_GRT_redeB";"172.20.142.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_GRT_redeA";"172.20.142.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_GUA_rgrB";"172.20.208.125";"Disponibilidade_Telecontrole"
"TELECONTROLE_GUA_redeA";"172.20.208.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_GUA3_redeB";"172.20.191.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_GUA3_redeA";"172.20.191.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_GUO_redeB";"172.20.197.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_GUO_redeA";"172.20.197.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_IJU2_redeB";"172.20.137.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_IJU2_redeA";"172.20.137.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_IRN_redeB";"172.20.198.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_IRN_redeA";"172.20.198.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_ITJ_realB";"172.16.82.190";"Disponibilidade_Telecontrole"
"TELECONTROLE_ITJ_redeA";"172.16.82.252";"Disponibilidade_Telecontrole"
"TELECONTROLE_ITR_redeB";"172.20.26.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_ITR_redeA";"172.20.27.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_IVI2_redeB";"172.20.168.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_IVI2_redeA";"172.20.168.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_IVP_redeB";"172.16.76.62";"Disponibilidade_Telecontrole"
"TELECONTROLE_IVP_redeA";"172.16.76.190";"Disponibilidade_Telecontrole"
"TELECONTROLE_JLAB_redeB";"172.16.85.124";"Disponibilidade_Telecontrole"
"TELECONTROLE_JLAB_redeA";"172.16.85.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_JNO_redeB";"172.20.146.126";"Disponibilidade_Telecontrole"
"TELECONTROLE_JNO_redeA";"172.20.146.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_JOI_redeB";"172.16.86.190";"Disponibilidade_Telecontrole"
"TELECONTROLE_JOI_redeA";"172.16.86.254";"Disponibilidade_Telecontrole"
"TELECONTROLE_LGR_redeB";"172.20.211.126";"Disponibilidade_Telecontrole"
